Broadcast Radius,Population Mean,Population Median,Population Std Dev,Population Min,Population Q1,Population Q3,Population Max,Average Wealth Mean,Average Wealth Median,Average Wealth Std Dev,Average Wealth Min,Average Wealth Q1,Average Wealth Q3,Average Wealth Max,Gini Coefficient Mean,Gini Coefficient Median,Gini Coefficient Std Dev,Gini Coefficient Min,Gini Coefficient Q1,Gini Coefficient Q3,Gini Coefficient Max
0,136.6,152.5,74.25523550565308,20,64.75,193.0,249,486.2979516921133,451.88307030129124,86.5777149929977,399.9271844660194,425.2841783216783,516.4212405176261,644.9478260869565,0.32616499619473444,0.3101394576226525,0.03749877752720036,0.2818146706204881,0.29548900929960265,0.35007876841046326,0.38897227143927016
5,362.5,427.5,128.33491341018623,142,251.5,449.0,511,953.8889727756812,954.065460875227,176.54423916368526,708.8926553672317,832.4083985649054,1025.5062263826862,1291.2492307692307,0.22296904663520672,0.2360841548264742,0.03329934898265954,0.14156393407952167,0.21390963276187433,0.24729628116197644,0.25007415272218564
15,373.0,396.5,125.13592609638529,148,312.0,460.25,550,856.4172448711624,787.960372960373,205.8956739922596,518.9594594594595,765.7053686741469,1013.978800140746,1184.0498687664042,0.2203614845329911,0.23159191792935563,0.055153888383978465,0.11402893161110868,0.2095474710006288,0.24897395770255365,0.31449823387953224
